Wavelength (A)	Transmission
41.15	1.55E-206
41.20	9.44E-207
41.25	5.53E-207
41.30	3.16E-207
41.35	1.78E-207
41.40	1.00E-207
41.45	5.62E-208
41.50	3.16E-208
41.55	1.78E-208
41.60	1.00E-208
41.65	5.62E-209
41.70	3.16E-209
41.75	1.78E-209
41.80	1.00E-209
41.85	5.62E-210
41.90	3.16E-210
41.95	1.78E-210
42.00	1.00E-210
42.05	5.62E-211
42.10	3.16E-211
42.15	1.78E-211
42.20	1.00E-211
42.25	5.62E-212
42.30	3.16E-212
42.35	1.78E-212
42.40	1.00E-212
42.45	5.62E-213
42.50	3.16E-213
42.55	1.78E-213
42.60	9.99E-214
42.65	5.62E-214
42.70	3.16E-214
42.75	1.77E-214
42.80	9.97E-215
42.85	5.61E-215
42.90	3.15E-215
42.95	1.76E-215
43.00	9.76E-216
43.05	5.26E-216
43.10	2.74E-216
43.15	1.38E-216
43.20	6.89E-217
43.25	3.38E-217
43.30	1.62E-217
43.35	7.55E-218
43.40	3.36E-218
43.45	1.39E-218
43.50	5.05E-219
43.55	1.47E-219
43.60	2.96E-220
43.65	3.58E-221
43.70	1.25E-222
43.75	1.03E-224
43.80	0.00E+00
43.85	0.00E+00
43.90	0.00E+00
43.95	0.00E+00
44.00	0.00E+00
44.05	0.00E+00
44.10	0.00E+00
44.15	0.00E+00
44.20	0.00E+00
44.25	0.00E+00
44.30	0.00E+00
44.35	0.00E+00
44.40	0.00E+00
44.45	0.00E+00
44.50	0.00E+00
44.55	0.00E+00
44.60	0.00E+00
44.65	0.00E+00
44.70	0.00E+00
44.75	0.00E+00
44.80	0.00E+00
44.85	0.00E+00
44.90	0.00E+00
44.95	0.00E+00
45.00	0.00E+00
