,formula,thickness,density,height,transmission,mu_per_cm,transmission (2.53 Å),mu_per_cm (2.53 Å)
133,Ni8768Co760Cr3875Al327Mo602Ti420Nb370Fe2005,2.125109357861074,8.22884,8.6413,69.06674280721141,1.7415426668817138,70.680177,1.6328808351044592
134,Ni8842Co788Cr3951Al331Mo586Ti404Nb328Fe2012,2.1292489352041937,8.22884,8.7062,68.8544425643928,1.7526153539947342,70.482158,1.6428825227058337
135,Ni8785Co793Cr4027Al338Mo600Ti414Nb307Fe1983,2.086990035874245,8.22884,8.7712,69.40116924860527,1.7502070655628932,71.015433,1.6400316268248154
136,Ni8919Co825Cr4044Al358Mo607Ti396Nb257Fe1975,2.1117379426248037,8.22884,8.8362,68.9005876818394,1.7639758750186534,70.537847,1.6527656026390498
137,Ni8807Co818Cr3981Al347Mo620Ti412Nb323Fe1972,2.1182026815253887,8.22884,8.9012,68.96874298134745,1.7539246245748157,70.603805,1.6433089750711851
138,Ni8776Co815Cr4005Al347Mo628Ti445Nb329Fe1945,2.117132361120108,8.22884,8.9661,69.04059066568693,1.7498933493269848,70.675321,1.6393577788301306
139,Ni8910Co824Cr3974Al347Mo590Ti380Nb257Fe2017,2.1068183124351396,8.22884,9.0311,68.8898580120696,1.7688341480013559,70.525102,1.6574826635231643
140,Ni8868Co816Cr3995Al350Mo599Ti380Nb264Fe2009,2.0876591261038566,8.22884,9.0961,69.20186536376313,1.7634218297461566,70.825584,1.6523286312230265
141,Ni8822Co810Cr4032Al342Mo602Ti441Nb328Fe1972,2.0898865477806265,8.22884,9.161,69.34784331297162,1.7514593731742205,70.968811,1.640900973852197
142,Ni8888Co823Cr4042Al350Mo589Ti386Nb276Fe2006,2.1284703808910086,8.22884,9.226,68.71786328008598,1.7625850248794261,70.360446,1.6516035668900637
143,Ni8884Co812Cr3956Al340Mo615Ti398Nb319Fe1989,2.129785428192059,8.22884,9.291,68.79171341993184,1.7564534334245265,70.427681,1.6460991771376297
144,Ni8821Co842Cr3870Al355Mo642Ti447Nb302Fe1913,2.0840121350719634,8.22884,9.356,69.21673169555505,1.7654770761189935,70.850982,1.6534997751698943
145,Ni8975Co878Cr3685Al351Mo575Ti328Nb196Fe2002,2.105978325219578,8.22884,9.4209,68.34607325711232,1.8071699524568356,70.008634,1.693045006294254
146,Ni8845Co817Cr3795Al353Mo607Ti388Nb275Fe1996,2.063230261797823,8.22884,9.4859,69.39385567472175,1.7708729079166527,71.009494,1.6593232753289304
147,Ni8755Co810Cr3752Al349Mo634Ti453Nb360Fe1923,2.1017349178747184,8.22884,9.5509,69.13220120694118,1.7564039681683772,70.759721,1.6456892668445162
148,Ni8834Co823Cr3691Al345Mo606Ti400Nb304Fe1986,2.0481484471119162,8.22884,9.6158,69.5329559700676,1.7741358528040265,71.144588,1.6622619785080077
149,Ni8873Co818Cr3982Al339Mo593Ti371Nb239Fe2045,2.1034205529125853,8.22884,9.6808,68.941812664017,1.7681073400812386,70.574143,1.6568553280981284
150,Ni8713Co800Cr3850Al340Mo653Ti462Nb421Fe1905,2.056394671315077,8.22884,9.7458,69.92406263189257,1.739745571782451,71.523191,1.6297865575260744
151,Ni8938Co838Cr3877Al348Mo575Ti402Nb246Fe1998,2.0511410703241157,8.22884,9.8108,69.4011373269569,1.7807986778569,71.021916,1.6682503484122606
152,Ni8845Co837Cr4056Al357Mo610Ti413Nb297Fe1958,2.0877310605795842,8.22884,9.8757,69.25475421485224,1.7597017034038087,70.885894,1.6481947077290409
153,Ni8787Co822Cr4003Al342Mo621Ti437Nb350Fe1922,2.111488947425701,8.22884,9.9407,69.09480876344182,1.7508525674305284,70.72912,1.6401355882986648
154,Ni8905Co846Cr3952Al348Mo598Ti375Nb248Fe1995,2.097037864681655,8.22884,10.0057,68.91373691208761,1.775431237939563,70.554657,1.6632150798036913
155,Ni8841Co833Cr4007Al356Mo618Ti425Nb304Fe1939,2.01043590313644,8.22884,10.0707,70.19935600070069,1.7599717962934964,71.795959,1.6481102050450565
156,Ni8769Co808Cr3958Al347Mo635Ti456Nb345Fe1930,2.0829375629001556,8.22884,10.1356,69.48231510630532,1.7480021061823776,71.099664,1.637531441189958
157,Ni8888Co826Cr4086Al343Mo615Ti403Nb273Fe1996,2.101613353225024,8.22884,10.2006,69.09895458181657,1.758794422502531,70.730792,1.6477301924248982
158,Ni8866Co816Cr4083Al343Mo603Ti407Nb305Fe1983,2.1012746441673085,8.22884,10.2656,69.17215498596528,1.7540391017510593,70.799127,1.643400194407989
159,Ni8835Co844Cr4188Al348Mo616Ti431Nb310Fe1931,2.1005846114010334,8.22884,10.3305,69.19511653818388,1.7530352936676872,70.833423,1.6416345170698903
160,Ni8901Co823Cr3832Al354Mo590Ti402Nb266Fe1983,2.1005263594542125,8.22884,10.3955,68.88499217557013,1.7744688154031516,70.519822,1.662803949096823
161,Ni8859Co833Cr3609Al354Mo625Ti437Nb306Fe1936,2.1000481719896302,8.22884,10.4605,68.83576887960089,1.7782767301405304,70.475048,1.6662068640265881
162,Ni8827Co824Cr3502Al352Mo592Ti428Nb300Fe1957,2.0996638311188374,8.22884,10.5255,68.73415976109315,1.785637652593149,70.373115,1.673405426904295
163,Ni8782Co826Cr3601Al344Mo649Ti439Nb356Fe1900,2.099308234991458,8.22884,10.5904,68.9999607094286,1.7675548765761635,70.633747,1.6560795935924566
164,Ni8899Co829Cr3582Al344Mo597Ti390Nb272Fe1960,2.0975902089936747,8.22884,10.6554,68.7280373122366,1.7878275563425163,70.366453,1.6755110448897026
165,Ni8775Co823Cr3659Al338Mo624Ti404Nb320Fe1952,2.096382291736791,8.22884,10.7204,68.98501692539685,1.7710550811397392,70.617613,1.6594807066126323
166,Ni8841Co817Cr3656Al344Mo613Ti455Nb359Fe1913,2.0586492231474454,8.22884,10.7853,69.49605212415909,1.7676651024758965,71.109335,1.6561906711029462
167,Ni8899Co837Cr3790Al349Mo597Ti370Nb237Fe1996,2.064520701635916,8.24296,10.8503,69.1605105257813,1.7860811136498964,70.788246,1.6734015587547975
168,Ni8793Co919Cr3970Al361Mo656Ti458Nb303Fe1799,2.057806905212242,8.24296,10.9153,69.32140348843718,1.7806164120758505,70.978335,1.665829264585109
169,Ni8939Co1022Cr3998Al381Mo668Ti416Nb198Fe1729,2.111005559487456,8.24296,10.9803,68.13711645303755,1.817371303943851,69.860637,1.6990378201637075
