,formula,thickness,density,transmission,mu_per_cm,height_mm,height
151,Ni8938Co838Cr3877Al348Mo575Ti402Nb246Fe1998,3.125466379235485,8.21,75.7229342289316,0.8897523620886947,9.8108,9.8108
152,Ni8845Co837Cr4056Al357Mo610Ti413Nb297Fe1958,3.120263348056868,8.21,76.00513612289606,0.8793144578378753,9.8757,9.8757
153,Ni8787Co822Cr4003Al342Mo621Ti437Nb350Fe1922,3.0838641720306104,8.21,76.3503980458756,0.8749961925945582,9.9407,9.9407
154,Ni8905Co846Cr3952Al348Mo598Ti375Nb248Fe1995,3.015651293202071,8.21,76.52167565962674,0.887357712533497,10.0057,10.0057
155,Ni8841Co833Cr4007Al356Mo618Ti425Nb304Fe1939,2.987975935465803,8.21,76.89199972999126,0.8794192298876269,10.0707,10.0707
156,Ni8769Co808Cr3958Al347Mo635Ti456Nb345Fe1930,2.989336422538245,8.21,77.01632701527402,0.8736144432696045,10.1356,10.1356
157,Ni8888Co826Cr4086Al343Mo615Ti403Nb273Fe1996,2.9873953434761704,8.21,76.90385827985705,0.8790739351543966,10.2006,10.2006
158,Ni8866Co816Cr4083Al343Mo603Ti407Nb305Fe1983,3.0567599057327315,8.21,76.49438954606951,0.8765908850400582,10.2656,10.2656
159,Ni8835Co844Cr4188Al348Mo616Ti431Nb310Fe1931,3.034462780361634,8.21,76.65444373202185,0.8761439083918895,10.3305,10.3305
160,Ni8901Co823Cr3832Al354Mo590Ti402Nb266Fe1983,3.048151208124655,8.21,76.31372966208303,0.886823855779942,10.3955,10.3955
161,Ni8859Co833Cr3609Al354Mo625Ti437Nb306Fe1936,3.1166020657719584,8.21,75.8090030304577,0.8886380778140527,10.4605,10.4605
162,Ni8827Co824Cr3502Al352Mo592Ti428Nb300Fe1957,3.1162311184951985,8.21,75.72470912281582,0.8923140156786693,10.5255,10.5255
163,Ni8782Co826Cr3601Al344Mo649Ti439Nb356Fe1900,3.1170930248358744,8.21,75.93266477905571,0.8832692062067139,10.5904,10.5904
164,Ni8899Co829Cr3582Al344Mo597Ti390Nb272Fe1960,3.117097402867813,8.21,75.69319460103962,0.893401434679754,10.6554,10.6554
165,Ni8775Co823Cr3659Al338Mo624Ti404Nb320Fe1952,3.117071496459051,8.21,75.89163130393462,0.8850094310608939,10.7204,10.7204
166,Ni8841Co817Cr3656Al344Mo613Ti455Nb359Fe1913,3.118079497074016,8.21,75.9275866110768,0.8832042541539319,10.7853,10.7853
167,Ni8899Co837Cr3790Al349Mo597Ti370Nb237Fe1996,3.119778655593308,8.22,75.70822008439751,0.8919973963547819,10.8503,10.8503
168,Ni8793Co919Cr3970Al361Mo656Ti458Nb303Fe1799,3.186615643496051,8.22,75.3249776106399,0.8892142319921332,10.9153,10.9153
169,Ni8939Co1022Cr3998Al381Mo668Ti416Nb198Fe1729,3.2487151723238563,8.22,74.46132099624857,0.90771385313937,10.9803,10.9803
170,Ni8805Co970Cr3936Al370Mo671Ti480Nb280Fe1720,3.2180986310186475,8.22,74.92970827909788,0.8968641671924644,11.0452,11.0452
171,Ni8873Co994Cr4172Al378Mo638Ti417Nb214Fe1764,3.1504282708190576,8.22,75.30430489541119,0.9002994466427331,11.1102,11.1102
172,Ni8801Co1037Cr3995Al386Mo718Ti491Nb258Fe1618,3.1146784426657335,8.22,75.5021601128286,0.9022084447855424,11.1752,11.1752
173,Ni8857Co1053Cr3955Al386Mo687Ti451Nb205Fe1659,3.114735938963426,8.22,75.30458093318461,0.9106043748960329,11.2401,11.2401
174,Ni8837Co1015Cr3911Al376Mo693Ti453Nb241Fe1701,3.1509099771547215,8.22,75.20586366941501,0.9043133120614006,11.3051,11.3051
175,Ni8855Co1039Cr4036Al386Mo710Ti484Nb234Fe1633,3.1586344476689634,8.22,75.1687541823296,0.9036643809249416,11.3701,11.3701
176,Ni8838Co1053Cr4048Al395Mo682Ti474Nb225Fe1646,3.1599795869349223,8.22,75.0848453666762,0.9068142132510676,11.4351,11.4351
177,Ni8881Co1085Cr4042Al393Mo697Ti449Nb199Fe1606,3.1604049656504167,8.22,74.95231033601455,0.9122822550211239,11.5,11.5
178,Ni8842Co1102Cr4035Al405Mo729Ti482Nb216Fe1559,3.157477665608651,8.22,75.0026990233214,0.9109995907642627,11.565,11.565
