,formula,thickness,density,transmission,mu_per_cm,height_mm
302,Ni8921Co1770Cr4118Al535Mo991Ti637Nb9Fe547,0.6174409178271777,8.24,88.44559078610324,1.9885727179629722,19.6212
303,Ni8992Co1810Cr4213Al532Mo950Ti588Nb9Fe549,0.4224490432735287,8.24,91.89466118714962,2.000886340723319,19.6862
304,Ni8980Co1803Cr4117Al533Mo918Ti581Nb5Fe556,0.23068624395418763,8.24,95.46445405625929,2.0120929548147544,19.7512
305,Ni8924Co1797Cr4047Al530Mo965Ti642Nb12Fe531,0.039017429690718884,8.24,99.21936937816386,2.0085728329772525,19.8161
306,Ni8818Co1758Cr4049Al533Mo1012Ti714Nb9Fe524,0.01866509165345765,8.24,99.62893766730689,1.9916991764141245,19.8811
307,Ni8899Co1796Cr4142Al531Mo978Ti642Nb5Fe534,0.0008266412509943146,8.24,99.9834526668976,2.0019207007510706,19.9461
308,Ni8931Co1791Cr4181Al536Mo989Ti669Nb7Fe534,0.00027721250419391247,8.24,99.99446686861339,1.99604432926508,20.011
309,Ni8853Co1790Cr4021Al535Mo970Ti674Nb9Fe528,1.96896196183373e-05,8.24,99.99960472413798,2.0075382404470674,20.076
310,Ni8896Co1800Cr4153Al545Mo977Ti669Nb6Fe531,4.6877819289077905e-06,8.24,99.99990619876141,2.000973680165253,20.141
311,Ni8857Co1780Cr4140Al534Mo1009Ti701Nb11Fe526,4.3634386708431493e-07,8.24,99.9999913003233,1.9937663242078623,20.2059
312,Ni8944Co1806Cr4024Al537Mo950Ti615Nb11Fe543,7.791094824942968e-08,8.24,99.99999842446799,2.022221605274533,20.2709
313,Ni8783Co1769Cr4130Al529Mo1034Ti707Nb12Fe521,1.0636926225698646e-08,8.24,99.99999977166202,2.1466538102404145,20.3359
314,Ni8972Co1793Cr4003Al540Mo973Ti637Nb8Fe530,1.0136909248322089e-08,8.24,99.9999997944958,2.0272864895865057,20.4008
